n_modules,topology,link_noise,cgcs,z,shared_profile,collapse_residual,abs_residual
16,small_world,0.16,0.576632788438611,-0.40368095837204326,0.5995717277667578,-0.022938939328146835,0.022938939328146835
16,small_world,0.165,0.561223428102556,-0.32294476669763456,0.5800417462398233,-0.01881831813726731,0.01881831813726731
16,small_world,0.17,0.5454007056410407,-0.2422085750232258,0.5602578458720849,-0.01485714023104423,0.01485714023104423
16,small_world,0.17500000000000002,0.5275095696790882,-0.16147238334881706,0.5402806130346108,-0.012771043355522593,0.012771043355522593
16,small_world,0.18,0.5128230777940238,-0.08073619167440875,0.5201730911989613,-0.007350013404937461,0.007350013404937461
16,small_world,0.185,0.4912007935977056,0.0,0.5,-0.008799206402294424,0.008799206402294424
16,small_world,0.19,0.47272596417074336,0.08073619167440875,0.47982690880103873,-0.007100944630295369,0.007100944630295369
16,small_world,0.195,0.4590375413249435,0.1614723833488175,0.45971938696538905,-0.0006818456404455442,0.0006818456404455442
16,small_world,0.2,0.4410852178461462,0.24220857502322624,0.43974215412791506,0.001343063718231119,0.001343063718231119
16,small_world,0.20500000000000002,0.41866944548773916,0.322944766697635,0.4199582537601766,-0.0012888082724374361,0.0012888082724374361
16,small_world,0.21,0.4009095680964287,0.40368095837204326,0.4004282722332422,0.00048129586318651496,0.00048129586318651496
16,small_world,0.215,0.38658489016050734,0.484417150046452,0.38120962348053244,0.005375266679974899,0.005375266679974899
16,small_world,0.22,0.3693936238009103,0.5651533417208607,0.36235591639605336,0.00703770740485693,0.00703770740485693
16,small_world,0.225,0.35479683313166177,0.6458895333952696,0.3439164184731788,0.010880414658482995,0.010880414658482995
16,small_world,0.23,0.3332272150834375,0.7266257250696783,0.3259356251338372,0.0072915899496002745,0.0072915899496002745
16,small_world,0.23500000000000001,0.31487566089487545,0.807361916744087,0.3084529399699787,0.006422720924896763,0.006422720924896763
16,small_world,0.24,0.29349079455186894,0.8880981084184953,0.2915024669639451,0.0019883275879238327,0.0019883275879238327
16,small_world,0.245,0.28268722280708347,0.968834300092904,0.27511291189119924,0.00757431091588423,0.00757431091588423
16,small_world,0.25,0.2697928494492218,1.0495704917673128,0.259307586716626,0.010485262732595813,0.010485262732595813
16,small_world,0.255,0.24843651869239583,1.1303066834417215,0.2441045080032056,0.00433201068919023,0.00433201068919023
16,small_world,0.26,0.23258607246149762,1.2110428751161304,0.22951657823482918,0.00306949422666844,0.00306949422666844
16,small_world,0.265,0.2235641499685779,1.291779066790539,0.2155518375370511,0.008012312431526808,0.008012312431526808
16,small_world,0.27,0.2066032702251134,1.3725152584649478,0.2022137725383717,0.004389497686741711,0.004389497686741711
16,small_world,0.275,0.1984580701527716,1.4532514501393565,0.18950166899078347,0.00895640116198812,0.00895640116198812
16,small_world,0.28,0.17720124741280774,1.5339876418137652,0.17741099517552827,-0.00020974776272053575,0.00020974776272053575
16,small_world,0.28500000000000003,0.16689138597201417,1.614723833488174,0.16593380395592938,0.0009575820160847848,0.0009575820160847848
16,small_world,0.29,0.15063359763160586,1.695460025162582,0.15505914249511177,-0.004425544863505909,0.004425544863505909
16,small_world,0.295,0.1439797004941551,1.7761962168369907,0.14477346002587888,-0.0007937595317237811,0.0007937595317237811
16,small_world,0.3,0.12890758456172796,1.8569324085113994,0.13506100554502865,-0.006153420983300684,0.006153420983300684
16,small_world,0.305,0.11795047503111461,1.937668600185808,0.1259042088199921,-0.007953733788877482,0.007953733788877482
16,small_world,0.31,0.10496830587107021,2.018404791860217,0.11728403957237876,-0.012315733701308548,0.012315733701308548
16,small_world,0.315,0.09919654712620775,2.0991409835346255,0.10918034108758201,-0.009983793961374263,0.009983793961374263
16,small_world,0.32,0.09090566453170601,2.1798771752090342,0.10157213575455382,-0.010666471222847806,0.010666471222847806
16,small_world,0.325,0.08426274656410808,2.260613366883443,0.09443790114197881,-0.01017515457787073,0.01017515457787073
16,small_world,0.33,0.07877343805935193,2.3413495585578517,0.08775581615539974,-0.008982378096047808,0.008982378096047808
16,small_world,0.335,0.0650095718452498,2.422085750232261,0.08150397759331862,-0.01649440574806882,0.01649440574806882
16,small_world,0.34,0.05287399261069289,2.5028219419066695,0.07566058803539066,-0.022786595424697777,0.022786595424697777
16,small_world,0.34500000000000003,0.05281846013265968,2.583558133581078,0.07020411646447333,-0.017385656331813652,0.017385656331813652
16,small_world,0.35000000000000003,0.04784640900732711,2.664294325255487,0.06511343336173447,-0.017267024354407363,0.017267024354407363
16,small_world,0.355,0.04307268344853072,2.7450305169298947,0.06036792223743692,-0.017295238788906202,0.017295238788906202
16,small_world,0.36,0.027820484684379504,2.8257667086043035,0.05594756968699144,-0.028127085002611935,0.028127085002611935
16,small_world,0.365,0.030260687610075585,2.906502900278712,0.051833036109652175,-0.02157234849957659,0.02157234849957659
16,small_world,0.37,0.02523996224359995,2.987239091953121,0.048005709211876746,-0.022765746968276795,0.022765746968276795
16,small_world,0.375,0.013964675994062587,3.0679752836275296,0.04444774235346227,-0.030483066359399687,0.030483066359399687
16,small_world,0.38,0.013587783971643999,3.1487114753019383,0.04114207969485073,-0.02755429572320673,0.02755429572320673
16,small_world,0.385,0.009823147077924468,3.229447666976347,0.038072469979428925,-0.028249322901504455,0.028249322901504455
16,small_world,0.39,0.009805574013388345,3.3101838586507557,0.03522347064431175,-0.025417896630923406,0.025417896630923406
16,small_world,0.395,0.006875886610462123,3.390920050325165,0.03258044380442582,-0.025704557193963695,0.025704557193963695
16,small_world,0.4,0.004998534593896029,3.4716562419995736,0.030129545503563504,-0.025131010909667476,0.025131010909667476
16,erdos_renyi,0.0,0.8835124994061657,-2.8476989052014243,0.9451996143104066,-0.061687114904240836,0.061687114904240836
16,erdos_renyi,0.005,0.8787542842418011,-2.7381720242321386,0.9392418640699287,-0.06048757982812758,0.06048757982812758
16,erdos_renyi,0.01,0.8682336336710071,-2.6286451432628533,0.9326825334651293,-0.06444889979412216,0.06444889979412216
16,erdos_renyi,0.015,0.8630585339413757,-2.5191182622935675,0.9254712604865143,-0.06241272654513863,0.06241272654513863
16,erdos_renyi,0.02,0.8510373742076296,-2.409591381324282,0.9175557762977289,-0.0665184020900993,0.0665184020900993
16,erdos_renyi,0.025,0.8487946566335824,-2.300064500354997,0.9088823807357371,-0.06008772410215468,0.06008772410215468
16,erdos_renyi,0.03,0.8380501217521705,-2.190537619385711,0.8993965619671334,-0.06134644021496283,0.06134644021496283
16,erdos_renyi,0.035,0.8322293303555538,-2.0810107384164254,0.8890437767315944,-0.056814446376040606,0.056814446376040606
16,erdos_renyi,0.04,0.8199685737873182,-1.9714838574471398,0.8777704047949464,-0.057801831007628146,0.057801831007628146
16,erdos_renyi,0.045,0.803529515883619,-1.8619569764778545,0.8655248865648881,-0.061995370681269146,0.061995370681269146
16,erdos_renyi,0.05,0.7988027761965147,-1.7524300955085688,0.8522590459571999,-0.05345626976068518,0.05345626976068518
16,erdos_renyi,0.055,0.7811676739100322,-1.6429032145392835,0.8379295912907903,-0.05676191738075809,0.05676191738075809
16,erdos_renyi,0.06,0.77009941514134,-1.533376333569998,0.8224997751470218,-0.05240036000568182,0.05240036000568182
16,erdos_renyi,0.065,0.7515447115726146,-1.4238494526007122,0.8059411799076635,-0.05439646833504885,0.05439646833504885
16,erdos_renyi,0.07,0.741128601667643,-1.3143225716314266,0.788235579574222,-0.04710697790657892,0.04710697790657892
16,erdos_renyi,0.075,0.7272407692455882,-1.204795690662141,0.7693768113649819,-0.0421360421193937,0.0421360421193937
16,erdos_renyi,0.08,0.7114521738757301,-1.0952688096928556,0.7493725738300798,-0.037920399954349704,0.037920399954349704
16,erdos_renyi,0.085,0.6963479104103839,-0.9857419287235699,0.7282460535968116,-0.031898143186427697,0.031898143186427697
16,erdos_renyi,0.09,0.675383641625895,-0.8762150477542846,0.7060372724659891,-0.030653630840094093,0.030653630840094093
16,erdos_renyi,0.095,0.6581165866389317,-0.766688166784999,0.6828040426650055,-0.024687456026073806,0.024687456026073806
