mode,sample_size,trial,signal_rate,unique_lanes_seen
constrained,25,138,1.0,8
uniform,25,139,0.12,3
constrained,25,139,1.0,8
uniform,25,140,0.24,4
constrained,25,140,1.0,7
uniform,25,141,0.12,3
constrained,25,141,1.0,7
uniform,25,142,0.28,5
constrained,25,142,1.0,8
uniform,25,143,0.28,4
constrained,25,143,1.0,7
uniform,25,144,0.28,4
constrained,25,144,1.0,8
uniform,25,145,0.32,6
constrained,25,145,1.0,8
uniform,25,146,0.24,4
constrained,25,146,1.0,8
uniform,25,147,0.12,2
constrained,25,147,1.0,7
uniform,25,148,0.2,5
constrained,25,148,1.0,8
uniform,25,149,0.2,4
constrained,25,149,1.0,7
uniform,25,150,0.32,4
constrained,25,150,1.0,8
uniform,25,151,0.52,6
constrained,25,151,1.0,7
uniform,25,152,0.28,4
constrained,25,152,1.0,7
uniform,25,153,0.36,6
constrained,25,153,1.0,8
uniform,25,154,0.2,4
constrained,25,154,1.0,8
uniform,25,155,0.36,6
constrained,25,155,1.0,7
uniform,25,156,0.4,5
constrained,25,156,1.0,8
uniform,25,157,0.2,4
constrained,25,157,1.0,7
uniform,25,158,0.28,5
constrained,25,158,1.0,8
uniform,25,159,0.24,6
constrained,25,159,1.0,7
uniform,25,160,0.36,6
constrained,25,160,1.0,8
uniform,25,161,0.24,5
constrained,25,161,1.0,8
uniform,25,162,0.2,3
constrained,25,162,1.0,8
uniform,25,163,0.2,5
constrained,25,163,1.0,7
uniform,25,164,0.12,3
constrained,25,164,1.0,8
uniform,25,165,0.16,3
constrained,25,165,1.0,8
uniform,25,166,0.28,4
constrained,25,166,1.0,8
uniform,25,167,0.2,3
constrained,25,167,1.0,7
uniform,25,168,0.28,6
constrained,25,168,1.0,8
uniform,25,169,0.4,5
constrained,25,169,1.0,7
uniform,25,170,0.32,5
constrained,25,170,1.0,8
uniform,25,171,0.28,5
constrained,25,171,1.0,8
uniform,25,172,0.36,5
constrained,25,172,1.0,8
uniform,25,173,0.32,5
constrained,25,173,1.0,8
uniform,25,174,0.28,5
constrained,25,174,1.0,8
uniform,25,175,0.24,3
constrained,25,175,1.0,8
