feature,peak_residue,lane_mass_ratio,activation_count,dead,valid_peak,hidden_dim,topk
4,20,0.19320955872535706,0,1,0,32,2
5,29,0.6111260056495667,0,1,1,32,2
6,19,0.27068832516670227,0,1,1,32,2
7,23,0.20557811856269836,0,1,1,32,2
8,10,0.34363874793052673,0,1,0,32,2
9,5,0.22639866173267365,0,1,0,32,2
10,22,0.2417132705450058,0,1,0,32,2
11,16,0.2573603093624115,0,1,0,32,2
12,24,0.1439913958311081,0,1,0,32,2
13,1,0.3106362223625183,0,1,1,32,2
14,22,0.2023281753063202,0,1,0,32,2
15,14,0.14669868350028992,0,1,0,32,2
16,24,0.45965203642845154,0,1,0,32,2
17,28,0.3353070616722107,0,1,0,32,2
18,7,0.6200957298278809,0,1,1,32,2
19,7,1.0,370,0,1,32,2
20,22,0.2650952935218811,0,1,0,32,2
21,6,0.36744871735572815,0,1,0,32,2
22,6,0.11926949769258499,0,1,0,32,2
23,17,0.9935412406921387,600,0,1,32,2
24,3,0.13561193645000458,0,1,0,32,2
25,22,0.11564560234546661,0,1,0,32,2
26,12,0.45332807302474976,0,1,0,32,2
27,0,0.22054582834243774,0,1,0,32,2
28,22,0.39493006467819214,0,1,0,32,2
29,23,0.27365952730178833,0,1,1,32,2
30,9,0.11936470121145248,0,1,0,32,2
31,9,0.12812216579914093,0,1,0,32,2
0,1,0.2743188738822937,0,1,1,32,4
1,23,0.31863269209861755,0,1,1,32,4
2,21,0.30383992195129395,0,1,0,32,4
3,7,0.30522096157073975,0,1,1,32,4
4,29,0.30085691809654236,0,1,1,32,4
5,21,0.17840105295181274,0,1,0,32,4
6,11,0.608802855014801,75,0,1,32,4
7,26,0.30512070655822754,0,1,0,32,4
8,12,0.10109677910804749,0,1,0,32,4
9,1,0.47472596168518066,0,1,1,32,4
10,11,0.37395450472831726,0,1,1,32,4
11,29,0.21245305240154266,0,1,1,32,4
12,13,1.0,600,0,1,32,4
13,7,0.5986036658287048,0,1,1,32,4
